first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_hr_pct,pitcher_wins,pitcher_losses,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,team_id,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,event_id,is_lhp,opp_batting_first5,platoon_score,opp_heat_14,pitcher_team_heat_14,heat_differential
2,39869,Cole Irvin,3.978,1.16,6.365,1.79,3.556,0.601,181.0,0.1727,0.0337,9.0,13.0,2.21,4.81,0.99,3.54,,0,2022,2022-04-09,22,3.0,0.0,1.46,-1.46,401354274,1,1.008,1.008,2.0,0.0,2.0
0,35292,Brad Keller,5.108,1.509,6.595,3.685,1.789,1.101,139.2,0.1653,0.0276,6.0,14.0,2.84,5.5,2.05,3.66,,1,2022,2022-04-09,5,2.0,1.0,2.39,-1.39,401354268,0,6.489,6.489,0.0,0.0,0.0
0,42169,Zach Plesac,4.322,1.326,6.86,2.607,2.632,0.687,131.2,0.1761,0.0335,3.0,12.0,2.4,5.18,1.45,3.81,,0,2022,2022-04-09,7,8.49,6.49,3.6,2.89,401354268,0,1.0,1.0,0.0,0.0,0.0
4,4684360,Joan Adon,7.15,1.791,7.71,5.467,1.41,0.944,64.2,0.1774,0.0258,1.0,12.0,3.97,5.92,3.04,4.28,,1,2022,2022-04-09,21,2.0,0.5,3.37,-2.87,401354273,0,3.0,3.0,4.0,0.0,4.0
0,33148,Chris Bassitt,3.427,1.148,8.295,2.434,3.408,0.988,181.2,0.2242,0.0255,15.0,9.0,1.9,4.39,1.35,4.61,,0,2022,2022-04-09,20,3.51,3.0,2.05,0.95,401354273,0,0.504,0.504,0.0,4.0,-4.0
0,39652,Kyle Wright,3.198,1.16,8.695,2.649,3.283,1.247,180.1,0.2358,0.0257,21.0,5.0,1.78,4.33,1.47,4.83,,1,2022,2022-04-09,17,2.51,2.51,1.78,0.73,401354267,0,2.996,2.996,0.0,2.0,-2.0
2,36092,Vladimir Gutierrez,7.707,1.934,7.21,5.967,1.208,0.5,36.2,0.162,0.0447,1.0,6.0,4.28,6.35,3.31,4.01,,0,2022,2022-04-09,15,3.51,3.0,4.43,-1.43,401354267,0,2.506,2.506,2.0,0.0,2.0
1,34874,German Marquez,5.017,1.369,7.45,3.129,2.381,0.945,181.2,0.1926,0.0385,9.0,13.0,2.79,5.1,1.74,4.14,,1,2022,2022-04-10,19,5.99,4.0,3.24,0.76,401354270,0,2.505,2.505,2.5,4.0,-1.5
1,38958,Tony Gonsolin,2.145,0.876,8.232,2.421,3.4,0.762,130.1,0.239,0.0221,16.0,1.0,1.19,3.04,1.35,4.57,,0,2022,2022-04-10,27,3.0,2.5,1.19,1.31,401354270,0,3.996,3.996,4.0,2.5,1.5
2,33829,Zach Davies,4.094,1.298,6.846,3.49,1.962,0.777,134.1,0.1789,0.0368,2.0,5.0,2.27,4.55,1.94,3.8,,1,2022,2022-04-10,25,2.0,0.99,1.82,-0.83,401354276,0,1.992,1.992,2.0,1.0,1.0
1,34848,Joe Musgrove,2.934,1.083,9.149,2.088,4.381,0.848,181.0,0.2486,0.0297,10.0,7.0,1.63,4.25,1.16,5.08,,0,2022,2022-04-10,29,4.98,1.99,1.48,0.51,401354276,0,0.992,0.992,1.0,2.0,-1.0
0,31730,Noah Syndergaard,3.957,1.259,6.371,2.079,3.065,0.761,134.2,0.1681,0.0248,10.0,10.0,2.2,5.14,1.15,3.54,,1,2022,2022-04-10,18,1.51,1.0,1.75,-0.75,401354269,0,1.004,1.004,1.0,1.0,0.0
1,6341,Justin Verlander,1.749,0.829,9.514,1.491,6.379,0.628,175.0,0.2778,0.018,18.0,4.0,0.97,3.31,0.83,5.29,,0,2022,2022-04-10,3,2.02,1.0,0.52,0.48,401354269,0,1.0,1.0,1.0,1.0,0.0
0,32804,Zach Eflin,4.069,1.13,7.779,1.795,4.333,0.839,75.2,0.2077,0.0256,3.0,5.0,2.26,4.65,1.0,4.32,,1,2022,2022-04-10,11,2.51,1.01,1.81,-0.8,401354289,0,0.002,0.002,0.0,0.0,0.0
0,39434,Daulton Jefferies,5.754,1.381,6.445,1.841,3.5,0.887,39.1,0.1628,0.0233,1.0,7.0,3.2,5.88,1.02,3.58,,0,2022,2022-04-10,22,3.0,0.0,2.45,-2.45,401354289,0,1.008,1.008,0.0,0.0,0.0
0,30981,Corey Kluber,4.335,1.213,7.628,1.152,6.619,0.582,164.0,0.2017,0.029,10.0,10.0,2.41,5.43,0.64,4.24,,1,2022,2022-04-10,1,7.97,3.99,2.86,1.13,401354279,0,0.008,0.008,0.0,4.0,-4.0
4,4717904,Tyler Wells,4.273,1.143,6.628,2.442,2.714,0.601,103.2,0.1797,0.0378,7.0,7.0,2.37,4.36,1.36,3.68,,0,2022,2022-04-10,30,0.02,0.01,1.63,-1.62,401354279,0,3.992,3.992,4.0,0.0,4.0
5,42409,Tarik Skubal,3.532,1.16,8.985,2.457,3.656,0.89,117.2,0.2453,0.0189,7.0,8.0,1.96,4.44,1.37,4.99,,1,2022,2022-04-10,4,1.02,0.99,1.51,-0.52,401354281,1,4.981,4.981,5.0,1.0,4.0
1,33763,Michael Kopech,3.552,1.192,7.935,4.307,1.842,0.559,119.1,0.2126,0.0304,5.0,9.0,1.97,3.57,2.39,4.41,,0,2022,2022-04-10,6,9.96,4.98,2.72,2.26,401354281,0,0.992,0.992,1.0,5.0,-4.0
6,40916,Ian Anderson,5.018,1.52,7.851,4.371,1.796,0.938,111.2,0.1968,0.0243,10.0,6.0,2.79,5.17,2.43,4.36,,1,2022,2022-04-10,17,2.51,2.51,2.79,-0.28,401354282,0,2.996,2.996,6.0,3.0,3.0
